New_Index,0,1,2,3,4,5,6,7
2022-12-27 22:30:00,3.0,1.0,5.0,2.0,2.0,5.0,2.0,0.0
2022-12-28 14:00:00,1.0,2.0,3.0,2.0,3.0,6.0,3.0,0.0
2022-12-28 22:30:00,4.0,1.0,1.0,4.0,7.0,1.0,2.0,0.0
2022-12-29 14:00:00,3.0,3.0,2.0,3.0,3.0,2.0,3.0,1.0
2022-12-29 22:30:00,4.0,3.0,3.0,2.0,4.0,3.0,1.0,0.0
2022-12-30 14:00:00,4.0,3.0,4.0,2.0,0.0,2.0,5.0,0.0
2022-12-30 22:30:00,4.0,3.0,4.0,6.0,2.0,0.0,1.0,0.0
2022-12-31 14:00:00,3.0,3.0,3.0,3.0,3.0,3.0,2.0,0.0
2022-12-31 22:30:00,7.0,0.0,4.0,2.0,1.0,4.0,2.0,0.0
2023-01-01 14:00:00,3.0,2.0,2.0,5.0,1.0,3.0,4.0,0.0
2023-01-01 22:30:00,2.0,5.0,1.0,3.0,5.0,2.0,1.0,1.0
2023-01-02 14:00:00,2.0,2.0,3.0,1.0,4.0,4.0,3.0,1.0
2023-01-02 22:30:00,4.0,1.0,2.0,3.0,3.0,4.0,3.0,0.0
2023-01-03 14:00:00,3.0,1.0,5.0,3.0,5.0,2.0,1.0,0.0
2023-01-03 22:30:00,1.0,3.0,1.0,2.0,5.0,2.0,6.0,0.0
2023-01-04 14:00:00,4.0,1.0,4.0,2.0,3.0,2.0,4.0,0.0
2023-01-04 22:30:00,2.0,0.0,4.0,5.0,2.0,5.0,2.0,0.0
2023-01-05 14:00:00,1.0,5.0,3.0,2.0,3.0,5.0,1.0,0.0
2023-01-05 22:30:00,1.0,3.0,4.0,2.0,2.0,2.0,5.0,1.0
2023-01-06 14:00:00,1.0,1.0,3.0,2.0,6.0,4.0,3.0,0.0
2023-01-06 22:30:00,1.0,3.0,1.0,4.0,1.0,6.0,4.0,0.0
2023-01-07 14:00:00,2.0,3.0,2.0,3.0,3.0,4.0,3.0,0.0
2023-01-07 22:30:00,3.0,3.0,2.0,3.0,3.0,3.0,3.0,0.0
2023-01-08 14:00:00,1.0,4.0,4.0,0.0,1.0,7.0,2.0,1.0
2023-01-08 22:30:00,4.0,1.0,6.0,3.0,1.0,4.0,1.0,0.0
2023-01-09 14:00:00,1.0,4.0,4.0,3.0,4.0,3.0,1.0,0.0
2023-01-09 22:30:00,3.0,4.0,1.0,1.0,5.0,2.0,4.0,0.0
2023-01-10 14:00:00,4.0,2.0,3.0,3.0,3.0,2.0,2.0,1.0
2023-01-10 22:30:00,2.0,2.0,3.0,4.0,2.0,2.0,5.0,0.0
2023-01-11 14:00:00,3.0,2.0,5.0,2.0,2.0,4.0,1.0,1.0
2023-01-11 22:30:00,3.0,2.0,4.0,3.0,2.0,2.0,3.0,1.0
2023-01-12 14:00:00,3.0,3.0,2.0,4.0,5.0,3.0,0.0,0.0
2023-01-12 22:30:00,2.0,3.0,4.0,2.0,4.0,2.0,2.0,1.0
2023-01-13 14:00:00,3.0,4.0,2.0,2.0,3.0,3.0,2.0,1.0
2023-01-13 22:30:00,2.0,3.0,2.0,3.0,3.0,3.0,4.0,0.0
2023-01-14 14:00:00,2.0,3.0,2.0,6.0,2.0,2.0,3.0,0.0
2023-01-14 22:30:00,4.0,3.0,1.0,3.0,3.0,4.0,2.0,0.0
2023-01-15 14:00:00,3.0,3.0,4.0,0.0,5.0,1.0,4.0,0.0
2023-01-15 22:30:00,3.0,1.0,4.0,2.0,3.0,1.0,6.0,0.0
2023-01-16 14:00:00,4.0,2.0,4.0,3.0,1.0,4.0,1.0,1.0
2023-01-16 22:30:00,2.0,0.0,4.0,2.0,4.0,4.0,3.0,1.0
2023-01-17 14:00:00,5.0,2.0,2.0,5.0,2.0,3.0,1.0,0.0
2023-01-17 22:30:00,0.0,3.0,1.0,2.0,4.0,3.0,7.0,0.0
2023-01-18 14:00:00,1.0,4.0,4.0,3.0,0.0,4.0,4.0,0.0
2023-01-18 22:30:00,4.0,2.0,2.0,4.0,2.0,2.0,4.0,0.0
2023-01-19 14:00:00,3.0,2.0,4.0,2.0,1.0,5.0,2.0,1.0
2023-01-19 22:30:00,3.0,2.0,3.0,5.0,1.0,3.0,2.0,1.0
2023-01-20 14:00:00,4.0,1.0,3.0,2.0,4.0,4.0,2.0,0.0
2023-01-20 22:30:00,3.0,3.0,4.0,2.0,2.0,4.0,2.0,0.0
2023-01-21 14:00:00,1.0,4.0,5.0,4.0,4.0,0.0,2.0,0.0
2023-01-21 22:30:00,4.0,2.0,3.0,3.0,1.0,3.0,4.0,0.0
2023-01-22 14:00:00,6.0,1.0,3.0,2.0,4.0,0.0,4.0,0.0
2023-01-22 22:30:00,2.0,0.0,5.0,6.0,4.0,2.0,1.0,0.0
2023-01-23 14:00:00,2.0,3.0,4.0,3.0,1.0,3.0,3.0,1.0
2023-01-23 22:30:00,2.0,2.0,4.0,2.0,5.0,3.0,2.0,0.0
2023-01-24 14:00:00,1.0,3.0,3.0,5.0,3.0,3.0,1.0,1.0
2023-01-24 22:30:00,1.0,5.0,3.0,4.0,2.0,2.0,3.0,0.0
2023-01-25 14:00:00,1.0,2.0,5.0,3.0,4.0,2.0,3.0,0.0
2023-01-25 22:30:00,2.0,2.0,2.0,5.0,1.0,4.0,4.0,0.0
2023-01-26 14:00:00,3.0,2.0,4.0,5.0,3.0,1.0,2.0,0.0
2023-01-26 22:30:00,1.0,4.0,5.0,2.0,2.0,3.0,3.0,0.0
